#;Name;Type 1;Type 2;Total;HP
66;Poliwag;Water;;300;40
67;Poliwhirl;Water;;385;65
68;Poliwrath;Water;Fighting;510;90
69;Abra;Psychic;;310;25
70;Kadabra;Psychic;;400;40
71;Alakazam;Psychic;;500;55
72;AlakazamMega Alakazam;Psychic;;590;55
73;Machop;Fighting;;305;70
74;Machoke;Fighting;;405;80
75;Machamp;Fighting;;505;90
76;Bellsprout;Grass;Poison;300;50
77;Weepinbell;Grass;Poison;390;65
78;Victreebel;Grass;Poison;490;80
79;Tentacool;Water;Poison;335;40
80;Tentacruel;Water;Poison;515;80
81;Geodude;Rock;Ground;300;40
82;Graveler;Rock;Ground;390;55
83;Golem;Rock;Ground;495;80
84;Ponyta;Fire;;410;50
85;Rapidash;Fire;;500;65
86;Slowpoke;Water;Psychic;315;90
87;Slowbro;Water;Psychic;490;95
88;SlowbroMega Slowbro;Water;Psychic;590;95
89;Magnemite;Electric;Steel;325;25
90;Magneton;Electric;Steel;465;50
91;Farfetch'd;Normal;Flying;352;52
92;Doduo;Normal;Flying;310;35
93;Dodrio;Normal;Flying;460;60
94;Seel;Water;;325;65
95;Dewgong;Water;Ice;475;90
96;Grimer;Poison;;325;80
97;Muk;Poison;;500;105
98;Shellder;Water;;305;30
99;Cloyster;Water;Ice;525;50
100;Gastly;Ghost;Poison;310;30
101;Haunter;Ghost;Poison;405;45
102;Gengar;Ghost;Poison;500;60
103;GengarMega Gengar;Ghost;Poison;600;60
104;Onix;Rock;Ground;385;35
105;Drowzee;Psychic;;328;60
106;Hypno;Psychic;;483;85
107;Krabby;Water;;325;30
108;Kingler;Water;;475;55
109;Voltorb;Electric;;330;40
110;Electrode;Electric;;480;60
111;Exeggcute;Grass;Psychic;325;60
112;Exeggutor;Grass;Psychic;520;95
113;Cubone;Ground;;320;50
114;Marowak;Ground;;425;60
115;Hitmonlee;Fighting;;455;50
116;Hitmonchan;Fighting;;455;50
117;Lickitung;Normal;;385;90
118;Koffing;Poison;;340;40
119;Weezing;Poison;;490;65
120;Rhyhorn;Ground;Rock;345;80
121;Rhydon;Ground;Rock;485;105
122;Chansey;Normal;;450;250
123;Tangela;Grass;;435;65
124;Kangaskhan;Normal;;490;105
125;KangaskhanMega Kangaskhan;Normal;;590;105
126;Horsea;Water;;295;30
127;Seadra;Water;;440;55
128;Goldeen;Water;;320;45
129;Seaking;Water;;450;80
130;Staryu;Water;;340;30
131;Starmie;Water;Psychic;520;60
132;Mr. Mime;Psychic;Fairy;460;40
133;Scyther;Bug;Flying;500;70
134;Jynx;Ice;Psychic;455;65
135;Electabuzz;Electric;;490;65
136;Magmar;Fire;;495;65
137;Pinsir;Bug;;500;65
138;PinsirMega Pinsir;Bug;Flying;600;65
139;Tauros;Normal;;490;75
140;Magikarp;Water;;200;20
141;Gyarados;Water;Flying;540;95
142;GyaradosMega Gyarados;Water;Dark;640;95
143;Lapras;Water;Ice;535;130
144;Ditto;Normal;;288;48
145;Eevee;Normal;;325;55
146;Vaporeon;Water;;525;130
147;Jolteon;Electric;;525;65
148;Flareon;Fire;;525;65
149;Porygon;Normal;;395;65
150;Omanyte;Rock;Water;355;35
151;Omastar;Rock;Water;495;70
152;Kabuto;Rock;Water;355;30
153;Kabutops;Rock;Water;495;60
154;Aerodactyl;Rock;Flying;515;80
155;AerodactylMega Aerodactyl;Rock;Flying;615;80
156;Snorlax;Normal;;540;160
157;Articuno;Ice;Flying;580;90
158;Zapdos;Electric;Flying;580;90
159;Moltres;Fire;Flying;580;90
160;Dratini;Dragon;;300;41
161;Dragonair;Dragon;;420;61
162;Dragonite;Dragon;Flying;600;91
163;Mewtwo;Psychic;;680;106
164;MewtwoMega Mewtwo X;Psychic;Fighting;780;106
165;MewtwoMega Mewtwo Y;Psychic;;780;106
166;Mew;Psychic;;600;100
167;Chikorita;Grass;;318;45
168;Bayleef;Grass;;405;60
169;Meganium;Grass;;525;80
170;Cyndaquil;Fire;;309;39
171;Quilava;Fire;;405;58
172;Typhlosion;Fire;;534;78
173;Totodile;Water;;314;50
174;Croconaw;Water;;405;65
175;Feraligatr;Water;;530;85
176;Sentret;Normal;;215;35
177;Furret;Normal;;415;85
178;Hoothoot;Normal;Flying;262;60
179;Noctowl;Normal;Flying;442;100
180;Ledyba;Bug;Flying;265;40
181;Ledian;Bug;Flying;390;55
182;Spinarak;Bug;Poison;250;40
183;Ariados;Bug;Poison;390;70
184;Crobat;Poison;Flying;535;85
185;Chinchou;Water;Electric;330;75
186;Lanturn;Water;Electric;460;125
187;Pichu;Electric;;205;20
188;Cleffa;Fairy;;218;50
189;Igglybuff;Normal;Fairy;210;90
190;Togepi;Fairy;;245;35
191;Togetic;Fairy;Flying;405;55
192;Natu;Psychic;Flying;320;40
193;Xatu;Psychic;Flying;470;65
194;Mareep;Electric;;280;55
195;Flaaffy;Electric;;365;70
196;Ampharos;Electric;;510;90
197;AmpharosMega Ampharos;Electric;Dragon;610;90
198;Bellossom;Grass;;490;75
199;Marill;Water;Fairy;250;70
200;Azumarill;Water;Fairy;420;100
201;Sudowoodo;Rock;;410;70
202;Politoed;Water;;500;90
203;Hoppip;Grass;Flying;250;35
204;Skiploom;Grass;Flying;340;55
205;Jumpluff;Grass;Flying;460;75
206;Aipom;Normal;;360;55
207;Sunkern;Grass;;180;30
208;Sunflora;Grass;;425;75
209;Yanma;Bug;Flying;390;65
210;Wooper;Water;Ground;210;55
211;Quagsire;Water;Ground;430;95
212;Espeon;Psychic;;525;65
213;Umbreon;Dark;;525;95
214;Murkrow;Dark;Flying;405;60
215;Slowking;Water;Psychic;490;95
216;Misdreavus;Ghost;;435;60
217;Unown;Psychic;;336;48
218;Wobbuffet;Psychic;;405;190
219;Girafarig;Normal;Psychic;455;70
220;Pineco;Bug;;290;50
221;Forretress;Bug;Steel;465;75
222;Dunsparce;Normal;;415;100
223;Gligar;Ground;Flying;430;65
224;Steelix;Steel;Ground;510;75
225;SteelixMega Steelix;Steel;Ground;610;75
226;Snubbull;Fairy;;300;60
227;Granbull;Fairy;;450;90
228;Qwilfish;Water;Poison;430;65
229;Scizor;Bug;Steel;500;70
230;ScizorMega Scizor;Bug;Steel;600;70
231;Shuckle;Bug;Rock;505;20
232;Heracross;Bug;Fighting;500;80
233;HeracrossMega Heracross;Bug;Fighting;600;80
234;Sneasel;Dark;Ice;430;55
235;Teddiursa;Normal;;330;60
236;Ursaring;Normal;;500;90
237;Slugma;Fire;;250;40
238;Magcargo;Fire;Rock;410;50
239;Swinub;Ice;Ground;250;50
240;Piloswine;Ice;Ground;450;100
241;Corsola;Water;Rock;380;55
242;Remoraid;Water;;300;35
243;Octillery;Water;;480;75
244;Delibird;Ice;Flying;330;45
245;Mantine;Water;Flying;465;65
246;Skarmory;Steel;Flying;465;65
247;Houndour;Dark;Fire;330;45
248;Houndoom;Dark;Fire;500;75
249;HoundoomMega Houndoom;Dark;Fire;600;75
250;Kingdra;Water;Dragon;540;75
251;Phanpy;Ground;;330;90
252;Donphan;Ground;;500;90
253;Porygon2;Normal;;515;85
254;Stantler;Normal;;465;73
255;Smeargle;Normal;;250;55
256;Tyrogue;Fighting;;210;35
257;Hitmontop;Fighting;;455;50
258;Smoochum;Ice;Psychic;305;45
259;Elekid;Electric;;360;45
260;Magby;Fire;;365;45
261;Miltank;Normal;;490;95
262;Blissey;Normal;;540;255
263;Raikou;Electric;;580;90
264;Entei;Fire;;580;115
265;Suicune;Water;;580;100
266;Larvitar;Rock;Ground;300;50
267;Pupitar;Rock;Ground;410;70
268;Tyranitar;Rock;Dark;600;100
269;TyranitarMega Tyranitar;Rock;Dark;700;100
270;Lugia;Psychic;Flying;680;106
271;Ho-oh;Fire;Flying;680;106
272;Celebi;Psychic;Grass;600;100
273;Treecko;Grass;;310;40
274;Grovyle;Grass;;405;50
275;Sceptile;Grass;;530;70
276;SceptileMega Sceptile;Grass;Dragon;630;70
277;Torchic;Fire;;310;45
278;Combusken;Fire;Fighting;405;60
279;Blaziken;Fire;Fighting;530;80
280;BlazikenMega Blaziken;Fire;Fighting;630;80
281;Mudkip;Water;;310;50
282;Marshtomp;Water;Ground;405;70
283;Swampert;Water;Ground;535;100
284;SwampertMega Swampert;Water;Ground;635;100
285;Poochyena;Dark;;220;35
286;Mightyena;Dark;;420;70
287;Zigzagoon;Normal;;240;38
288;Linoone;Normal;;420;78
289;Wurmple;Bug;;195;45
290;Silcoon;Bug;;205;50
291;Beautifly;Bug;Flying;395;60
292;Cascoon;Bug;;205;50
293;Dustox;Bug;Poison;385;60
294;Lotad;Water;Grass;220;40
295;Lombre;Water;Grass;340;60
296;Ludicolo;Water;Grass;480;80
297;Seedot;Grass;;220;40
298;Nuzleaf;Grass;Dark;340;70
299;Shiftry;Grass;Dark;480;90
300;Taillow;Normal;Flying;270;40
301;Swellow;Normal;Flying;430;60
302;Wingull;Water;Flying;270;40
303;Pelipper;Water;Flying;430;60
304;Ralts;Psychic;Fairy;198;28
305;Kirlia;Psychic;Fairy;278;38
306;Gardevoir;Psychic;Fairy;518;68
307;GardevoirMega Gardevoir;Psychic;Fairy;618;68
308;Surskit;Bug;Water;269;40
309;Masquerain;Bug;Flying;414;70
310;Shroomish;Grass;;295;60
311;Breloom;Grass;Fighting;460;60
312;Slakoth;Normal;;280;60
313;Vigoroth;Normal;;440;80
314;Slaking;Normal;;670;150
315;Nincada;Bug;Ground;266;31
316;Ninjask;Bug;Flying;456;61
317;Shedinja;Bug;Ghost;236;1
318;Whismur;Normal;;240;64
319;Loudred;Normal;;360;84
320;Exploud;Normal;;490;104
321;Makuhita;Fighting;;237;72
322;Hariyama;Fighting;;474;144
323;Azurill;Normal;Fairy;190;50
324;Nosepass;Rock;;375;30
325;Skitty;Normal;;260;50
326;Delcatty;Normal;;380;70
327;Sableye;Dark;Ghost;380;50
328;SableyeMega Sableye;Dark;Ghost;480;50
329;Mawile;Steel;Fairy;380;50
330;MawileMega Mawile;Steel;Fairy;480;50
331;Aron;Steel;Rock;330;50
332;Lairon;Steel;Rock;430;60
333;Aggron;Steel;Rock;530;70
334;AggronMega Aggron;Steel;;630;70
335;Meditite;Fighting;Psychic;280;30
336;Medicham;Fighting;Psychic;410;60
337;MedichamMega Medicham;Fighting;Psychic;510;60
338;Electrike;Electric;;295;40
339;Manectric;Electric;;475;70
340;ManectricMega Manectric;Electric;;575;70
341;Plusle;Electric;;405;60
342;Minun;Electric;;405;60
343;Volbeat;Bug;;400;65
344;Illumise;Bug;;400;65
345;Roselia;Grass;Poison;400;50
346;Gulpin;Poison;;302;70
347;Swalot;Poison;;467;100
348;Carvanha;Water;Dark;305;45
349;Sharpedo;Water;Dark;460;70
350;SharpedoMega Sharpedo;Water;Dark;560;70
351;Wailmer;Water;;400;130
352;Wailord;Water;;500;170
353;Numel;Fire;Ground;305;60
354;Camerupt;Fire;Ground;460;70
355;CameruptMega Camerupt;Fire;Ground;560;70
356;Torkoal;Fire;;470;70
357;Spoink;Psychic;;330;60
358;Grumpig;Psychic;;470;80
359;Spinda;Normal;;360;60
360;Trapinch;Ground;;290;45
361;Vibrava;Ground;Dragon;340;50
362;Flygon;Ground;Dragon;520;80
363;Cacnea;Grass;;335;50
364;Cacturne;Grass;Dark;475;70
365;Swablu;Normal;Flying;310;45
366;Altaria;Dragon;Flying;490;75
367;AltariaMega Altaria;Dragon;Fairy;590;75
368;Zangoose;Normal;;458;73
369;Seviper;Poison;;458;73
370;Lunatone;Rock;Psychic;440;70
371;Solrock;Rock;Psychic;440;70
372;Barboach;Water;Ground;288;50
373;Whiscash;Water;Ground;468;110
374;Corphish;Water;;308;43
375;Crawdaunt;Water;Dark;468;63
376;Baltoy;Ground;Psychic;300;40
377;Claydol;Ground;Psychic;500;60
378;Lileep;Rock;Grass;355;66
379;Cradily;Rock;Grass;495;86
380;Anorith;Rock;Bug;355;45
381;Armaldo;Rock;Bug;495;75
382;Feebas;Water;;200;20
383;Milotic;Water;;540;95
384;Castform;Normal;;420;70
385;Kecleon;Normal;;440;60
386;Shuppet;Ghost;;295;44
387;Banette;Ghost;;455;64
388;BanetteMega Banette;Ghost;;555;64
389;Duskull;Ghost;;295;20
390;Dusclops;Ghost;;455;40
391;Tropius;Grass;Flying;460;99
392;Chimecho;Psychic;;425;65
393;Absol;Dark;;465;65
394;AbsolMega Absol;Dark;;565;65
395;Wynaut;Psychic;;260;95
396;Snorunt;Ice;;300;50
397;Glalie;Ice;;480;80
398;GlalieMega Glalie;Ice;;580;80
399;Spheal;Ice;Water;290;70
400;Sealeo;Ice;Water;410;90
401;Walrein;Ice;Water;530;110
402;Clamperl;Water;;345;35
403;Huntail;Water;;485;55
404;Gorebyss;Water;;485;55
405;Relicanth;Water;Rock;485;100
406;Luvdisc;Water;;330;43
407;Bagon;Dragon;;300;45
408;Shelgon;Dragon;;420;65
409;Salamence;Dragon;Flying;600;95
410;SalamenceMega Salamence;Dragon;Flying;700;95
411;Beldum;Steel;Psychic;300;40
412;Metang;Steel;Psychic;420;60
413;Metagross;Steel;Psychic;600;80
414;MetagrossMega Metagross;Steel;Psychic;700;80
415;Regirock;Rock;;580;80
416;Regice;Ice;;580;80
417;Registeel;Steel;;580;80
418;Latias;Dragon;Psychic;600;80
419;LatiasMega Latias;Dragon;Psychic;700;80
420;Latios;Dragon;Psychic;600;80
421;LatiosMega Latios;Dragon;Psychic;700;80
422;Kyogre;Water;;670;100
423;KyogrePrimal Kyogre;Water;;770;100
424;Groudon;Ground;;670;100
425;GroudonPrimal Groudon;Ground;Fire;770;100
426;Rayquaza;Dragon;Flying;680;105
427;RayquazaMega Rayquaza;Dragon;Flying;780;105
428;Jirachi;Steel;Psychic;600;100
429;DeoxysNormal Forme;Psychic;;600;50
430;DeoxysAttack Forme;Psychic;;600;50
431;DeoxysDefense Forme;Psychic;;600;50
432;DeoxysSpeed Forme;Psychic;;600;50
433;Turtwig;Grass;;318;55
434;Grotle;Grass;;405;75
435;Torterra;Grass;Ground;525;95
436;Chimchar;Fire;;309;44
437;Monferno;Fire;Fighting;405;64
438;Infernape;Fire;Fighting;534;76
439;Piplup;Water;;314;53
440;Prinplup;Water;;405;64
441;Empoleon;Water;Steel;530;84
442;Starly;Normal;Flying;245;40
443;Staravia;Normal;Flying;340;55
444;Staraptor;Normal;Flying;485;85
445;Bidoof;Normal;;250;59
446;Bibarel;Normal;Water;410;79
447;Kricketot;Bug;;194;37
448;Kricketune;Bug;;384;77
449;Shinx;Electric;;263;45
450;Luxio;Electric;;363;60
451;Luxray;Electric;;523;80
452;Budew;Grass;Poison;280;40
453;Roserade;Grass;Poison;515;60
454;Cranidos;Rock;;350;67
455;Rampardos;Rock;;495;97
456;Shieldon;Rock;Steel;350;30
457;Bastiodon;Rock;Steel;495;60
458;Burmy;Bug;;224;40
459;WormadamPlant Cloak;Bug;Grass;424;60
460;WormadamSandy Cloak;Bug;Ground;424;60
461;WormadamTrash Cloak;Bug;Steel;424;60
462;Mothim;Bug;Flying;424;70
463;Combee;Bug;Flying;244;30
464;Vespiquen;Bug;Flying;474;70
465;Pachirisu;Electric;;405;60
466;Buizel;Water;;330;55
467;Floatzel;Water;;495;85
468;Cherubi;Grass;;275;45
469;Cherrim;Grass;;450;70
470;Shellos;Water;;325;76
471;Gastrodon;Water;Ground;475;111
472;Ambipom;Normal;;482;75
473;Drifloon;Ghost;Flying;348;90
474;Drifblim;Ghost;Flying;498;150
475;Buneary;Normal;;350;55
476;Lopunny;Normal;;480;65
477;LopunnyMega Lopunny;Normal;Fighting;580;65
478;Mismagius;Ghost;;495;60
479;Honchkrow;Dark;Flying;505;100
480;Glameow;Normal;;310;49
481;Purugly;Normal;;452;71
482;Chingling;Psychic;;285;45
483;Stunky;Poison;Dark;329;63
484;Skuntank;Poison;Dark;479;103
485;Bronzor;Steel;Psychic;300;57
486;Bronzong;Steel;Psychic;500;67
487;Bonsly;Rock;;290;50
488;Mime Jr.;Psychic;Fairy;310;20
489;Happiny;Normal;;220;100
490;Chatot;Normal;Flying;411;76
491;Spiritomb;Ghost;Dark;485;50
492;Gible;Dragon;Ground;300;58
493;Gabite;Dragon;Ground;410;68
494;Garchomp;Dragon;Ground;600;108
495;GarchompMega Garchomp;Dragon;Ground;700;108
496;Munchlax;Normal;;390;135
497;Riolu;Fighting;;285;40
498;Lucario;Fighting;Steel;525;70
499;LucarioMega Lucario;Fighting;Steel;625;70
500;Hippopotas;Ground;;330;68
501;Hippowdon;Ground;;525;108
502;Skorupi;Poison;Bug;330;40
503;Drapion;Poison;Dark;500;70
504;Croagunk;Poison;Fighting;300;48
505;Toxicroak;Poison;Fighting;490;83
506;Carnivine;Grass;;454;74
507;Finneon;Water;;330;49
508;Lumineon;Water;;460;69
509;Mantyke;Water;Flying;345;45
510;Snover;Grass;Ice;334;60
511;Abomasnow;Grass;Ice;494;90
512;AbomasnowMega Abomasnow;Grass;Ice;594;90
513;Weavile;Dark;Ice;510;70
514;Magnezone;Electric;Steel;535;70
515;Lickilicky;Normal;;515;110
516;Rhyperior;Ground;Rock;535;115
517;Tangrowth;Grass;;535;100
518;Electivire;Electric;;540;75
519;Magmortar;Fire;;540;75
520;Togekiss;Fairy;Flying;545;85
521;Yanmega;Bug;Flying;515;86
522;Leafeon;Grass;;525;65
523;Glaceon;Ice;;525;65
524;Gliscor;Ground;Flying;510;75
525;Mamoswine;Ice;Ground;530;110
526;Porygon-Z;Normal;;535;85
527;Gallade;Psychic;Fighting;518;68
528;GalladeMega Gallade;Psychic;Fighting;618;68
529;Probopass;Rock;Steel;525;60
530;Dusknoir;Ghost;;525;45
531;Froslass;Ice;Ghost;480;70
532;Rotom;Electric;Ghost;440;50
533;RotomHeat Rotom;Electric;Fire;520;50
534;RotomWash Rotom;Electric;Water;520;50
535;RotomFrost Rotom;Electric;Ice;520;50
536;RotomFan Rotom;Electric;Flying;520;50
537;RotomMow Rotom;Electric;Grass;520;50
538;Uxie;Psychic;;580;75
539;Mesprit;Psychic;;580;80
540;Azelf;Psychic;;580;75
541;Dialga;Steel;Dragon;680;100
542;Palkia;Water;Dragon;680;90
543;Heatran;Fire;Steel;600;91
544;Regigigas;Normal;;670;110
545;GiratinaAltered Forme;Ghost;Dragon;680;150
546;GiratinaOrigin Forme;Ghost;Dragon;680;150
547;Cresselia;Psychic;;600;120
548;Phione;Water;;480;80
549;Manaphy;Water;;600;100
550;Darkrai;Dark;;600;70
551;ShayminLand Forme;Grass;;600;100
552;ShayminSky Forme;Grass;Flying;600;100
553;Arceus;Normal;;720;120
554;Victini;Psychic;Fire;600;100
555;Snivy;Grass;;308;45
556;Servine;Grass;;413;60
557;Serperior;Grass;;528;75
558;Tepig;Fire;;308;65
559;Pignite;Fire;Fighting;418;90
560;Emboar;Fire;Fighting;528;110
561;Oshawott;Water;;308;55
562;Dewott;Water;;413;75
563;Samurott;Water;;528;95
564;Patrat;Normal;;255;45
565;Watchog;Normal;;420;60
566;Lillipup;Normal;;275;45
567;Herdier;Normal;;370;65
568;Stoutland;Normal;;500;85
569;Purrloin;Dark;;281;41
570;Liepard;Dark;;446;64
571;Pansage;Grass;;316;50
572;Simisage;Grass;;498;75
573;Pansear;Fire;;316;50
574;Simisear;Fire;;498;75
575;Panpour;Water;;316;50
576;Simipour;Water;;498;75
577;Munna;Psychic;;292;76
578;Musharna;Psychic;;487;116
579;Pidove;Normal;Flying;264;50
580;Tranquill;Normal;Flying;358;62
581;Unfezant;Normal;Flying;488;80
582;Blitzle;Electric;;295;45
583;Zebstrika;Electric;;497;75
584;Roggenrola;Rock;;280;55
585;Boldore;Rock;;390;70
586;Gigalith;Rock;;515;85
587;Woobat;Psychic;Flying;313;55
588;Swoobat;Psychic;Flying;425;67
589;Drilbur;Ground;;328;60
590;Excadrill;Ground;Steel;508;110
591;Audino;Normal;;445;103
592;AudinoMega Audino;Normal;Fairy;545;103
593;Timburr;Fighting;;305;75
594;Gurdurr;Fighting;;405;85
595;Conkeldurr;Fighting;;505;105
596;Tympole;Water;;294;50
597;Palpitoad;Water;Ground;384;75
598;Seismitoad;Water;Ground;509;105
599;Throh;Fighting;;465;120
600;Sawk;Fighting;;465;75
601;Sewaddle;Bug;Grass;310;45
602;Swadloon;Bug;Grass;380;55
603;Leavanny;Bug;Grass;500;75
604;Venipede;Bug;Poison;260;30
605;Whirlipede;Bug;Poison;360;40
606;Scolipede;Bug;Poison;485;60
607;Cottonee;Grass;Fairy;280;40
608;Whimsicott;Grass;Fairy;480;60
609;Petilil;Grass;;280;45
610;Lilligant;Grass;;480;70
611;Basculin;Water;;460;70
612;Sandile;Ground;Dark;292;50
613;Krokorok;Ground;Dark;351;60
614;Krookodile;Ground;Dark;519;95
615;Darumaka;Fire;;315;70
616;DarmanitanStandard Mode;Fire;;480;105
617;DarmanitanZen Mode;Fire;Psychic;540;105
618;Maractus;Grass;;461;75
619;Dwebble;Bug;Rock;325;50
620;Crustle;Bug;Rock;475;70
621;Scraggy;Dark;Fighting;348;50
622;Scrafty;Dark;Fighting;488;65
623;Sigilyph;Psychic;Flying;490;72
624;Yamask;Ghost;;303;38
625;Cofagrigus;Ghost;;483;58
626;Tirtouga;Water;Rock;355;54
627;Carracosta;Water;Rock;495;74
628;Archen;Rock;Flying;401;55
629;Archeops;Rock;Flying;567;75
630;Trubbish;Poison;;329;50
631;Garbodor;Poison;;474;80
632;Zorua;Dark;;330;40
633;Zoroark;Dark;;510;60
634;Minccino;Normal;;300;55
635;Cinccino;Normal;;470;75
636;Gothita;Psychic;;290;45
637;Gothorita;Psychic;;390;60
638;Gothitelle;Psychic;;490;70
639;Solosis;Psychic;;290;45
640;Duosion;Psychic;;370;65
641;Reuniclus;Psychic;;490;110
642;Ducklett;Water;Flying;305;62
643;Swanna;Water;Flying;473;75
644;Vanillite;Ice;;305;36
645;Vanillish;Ice;;395;51
646;Vanilluxe;Ice;;535;71
647;Deerling;Normal;Grass;335;60
648;Sawsbuck;Normal;Grass;475;80
649;Emolga;Electric;Flying;428;55
650;Karrablast;Bug;;315;50
651;Escavalier;Bug;Steel;495;70
652;Foongus;Grass;Poison;294;69
653;Amoonguss;Grass;Poison;464;114
654;Frillish;Water;Ghost;335;55
655;Jellicent;Water;Ghost;480;100
656;Alomomola;Water;;470;165
657;Joltik;Bug;Electric;319;50
658;Galvantula;Bug;Electric;472;70
659;Ferroseed;Grass;Steel;305;44
660;Ferrothorn;Grass;Steel;489;74
661;Klink;Steel;;300;40
662;Klang;Steel;;440;60
663;Klinklang;Steel;;520;60
664;Tynamo;Electric;;275;35
665;Eelektrik;Electric;;405;65
666;Eelektross;Electric;;515;85
667;Elgyem;Psychic;;335;55
668;Beheeyem;Psychic;;485;75
669;Litwick;Ghost;Fire;275;50
670;Lampent;Ghost;Fire;370;60
671;Chandelure;Ghost;Fire;520;60
672;Axew;Dragon;;320;46
673;Fraxure;Dragon;;410;66
674;Haxorus;Dragon;;540;76
675;Cubchoo;Ice;;305;55
676;Beartic;Ice;;485;95
677;Cryogonal;Ice;;485;70
678;Shelmet;Bug;;305;50
679;Accelgor;Bug;;495;80
680;Stunfisk;Ground;Electric;471;109
681;Mienfoo;Fighting;;350;45
682;Mienshao;Fighting;;510;65
683;Druddigon;Dragon;;485;77
684;Golett;Ground;Ghost;303;59
685;Golurk;Ground;Ghost;483;89
686;Pawniard;Dark;Steel;340;45
687;Bisharp;Dark;Steel;490;65
688;Bouffalant;Normal;;490;95
689;Rufflet;Normal;Flying;350;70
690;Braviary;Normal;Flying;510;100
691;Vullaby;Dark;Flying;370;70
692;Mandibuzz;Dark;Flying;510;110
693;Heatmor;Fire;;484;85
694;Durant;Bug;Steel;484;58
695;Deino;Dark;Dragon;300;52
696;Zweilous;Dark;Dragon;420;72
697;Hydreigon;Dark;Dragon;600;92
698;Larvesta;Bug;Fire;360;55
699;Volcarona;Bug;Fire;550;85
700;Cobalion;Steel;Fighting;580;91
701;Terrakion;Rock;Fighting;580;91
702;Virizion;Grass;Fighting;580;91
703;TornadusIncarnate Forme;Flying;;580;79
704;TornadusTherian Forme;Flying;;580;79
705;ThundurusIncarnate Forme;Electric;Flying;580;79
706;ThundurusTherian Forme;Electric;Flying;580;79
707;Reshiram;Dragon;Fire;680;100
708;Zekrom;Dragon;Electric;680;100
709;LandorusIncarnate Forme;Ground;Flying;600;89
710;LandorusTherian Forme;Ground;Flying;600;89
711;Kyurem;Dragon;Ice;660;125
712;KyuremBlack Kyurem;Dragon;Ice;700;125
713;KyuremWhite Kyurem;Dragon;Ice;700;125
714;KeldeoOrdinary Forme;Water;Fighting;580;91
715;KeldeoResolute Forme;Water;Fighting;580;91
716;MeloettaAria Forme;Normal;Psychic;600;100
717;MeloettaPirouette Forme;Normal;Fighting;600;100
718;Genesect;Bug;Steel;600;71
719;Chespin;Grass;;313;56
720;Quilladin;Grass;;405;61
721;Chesnaught;Grass;Fighting;530;88
722;Fennekin;Fire;;307;40
723;Braixen;Fire;;409;59
724;Delphox;Fire;Psychic;534;75
725;Froakie;Water;;314;41
726;Frogadier;Water;;405;54
727;Greninja;Water;Dark;530;72
728;Bunnelby;Normal;;237;38
729;Diggersby;Normal;Ground;423;85
730;Fletchling;Normal;Flying;278;45
731;Fletchinder;Fire;Flying;382;62
732;Talonflame;Fire;Flying;499;78
